"square","start","region"
1.7663,2827.17,"Львівська область"
5,8027.91,"Херсонська область"
1.2425,3626.59,"Вінницька область"
5.53,2981.64,"Харківська область"
9.9643,21753.29,"Тернопільська область"
68.93,44062.71,"Хмельницька область"
1.5518,2282.1,"Львівська область"
30.9653,1797.49,"Чернівецька область"
3.343,2538.16,"Тернопільська область"
24.5001,33690.88,"Волинська область"
0.002,2513.49,"Рівненська область"
72.9256,204638,"Кіровоградська область"
29.3705,70270.8,"Львівська область"
6.5487,1974.12,"Вінницька область"
3.2,16060.92,"Дніпропетровська область"
20.2368,39930,"Одеська область"
3.491,604.82,"Черкаська область"
1.9646,2240,"Одеська область"
18.3392,92044.52,"Дніпропетровська область"
17.1231,22274.28,"Чернігівська область"
3.0058,957.08,"Черкаська область"
27.93,29777.2,"Рівненська область"
12.8687,24534.84,"Хмельницька область"
7,4220.87,"Миколаївська область"
7.1643,13196.84,"Сумська область"
12.1602,116823.1,"Тернопільська область"
2,5567.03,"Полтавська область"
0.04,6379.17,"Рівненська область"
1.6759,1393.17,"Харківська область"
6.198,2317.67,"Волинська область"
22.064,24581.02,"Тернопільська область"
3.2323,9651.35,"Черкаська область"
9.999,8186.29,"Вінницька область"
22.7021,60039.32,"Донецька область"
0.159,30731.52,"Львівська область"
4.5521,19071.66,"Полтавська область"
5.1293,8521.92,"Харківська область"
0.0548,1180.5,"Київська область"
0.0612,62644.32,"Миколаївська область"
5.4167,6748.05,"Київська область"
0.0079,4000.32,"Рівненська область"
0.5714,2253.2,"Полтавська область"
4.8731,5247.16,"Чернівецька область"
6.8255,11759.77,"Харківська область"
20,21114.26,"Черкаська область"
25.5481,33780,"Одеська область"
5.4073,1166787.2,"Одеська область"
3.8497,9270,"Одеська область"
9.7552,19278.72,"Запорізька область"
3.0521,1640.61,"Черкаська область"
0.1412,44758,"Дніпропетровська область"
6.3733,11225.66,"Кіровоградська область"
2,3574.61,"Хмельницька область"
4.0061,11880.51,"Харківська область"
0.0939,33804,"Вінницька область"
4.2915,13430.88,"Черкаська область"
16.2375,6077.19,"Львівська область"
0.2147,32120.98,"Тернопільська область"
21.373,34997.2,"Запорізька область"
6.3621,6383.94,"Черкаська область"
7.302,25558.46,"Вінницька область"
21.2711,2155.86,"Волинська область"
0.2517,765.14,"Київська область"
